"","Latitude","Longitude","Place","As","Cr","Zn"
"180",34.86603,-119.55939,"Los Angeles",9.1,10,35
"181",37.55976,-122.07982,"San Francisco",17.8,128,103
"182",34.63635,-119.42469,"Los Angeles",8.3,35,78
"183",34.28644,-119.32084,"Los Angeles",5.9,17,42
"184",37.10432,-121.57108,"San Jose",4.4,166,48
"185",37.19601,-121.90131,"San Jose",5.3,417,70
"186",37.10525,-122.24243,"San Francisco",9.2,83,101
"187",37.01655,-122.03544,"San Francisco",1.3,24,25
"188",34.34597,-118.91734,"Los Angeles",4,10,47
"189",37.08988,-121.71953,"San Jose",4.3,405,99
"190",37.21937,-121.72381,"San Jose",1.8,4340,75
"191",37.54529,-121.91792,"San Jose",8.1,65,69
"192",37.0774,-121.9384,"San Jose",3.1,109,79
"193",34.45364,-119.05398,"Los Angeles",4.6,17,48
"194",34.53568,-119.63451,"Los Angeles",7.6,76,81
"195",34.09236,-118.64674,"Los Angeles",4.5,109,66
"196",34.43147,-118.91514,"Los Angeles",9.4,72,70
"197",34.71306,-119.12645,"Los Angeles",1.2,172,50
"198",34.12661,-118.85424,"Los Angeles",9.7,42,97
"199",37.18038,-121.49683,"San Jose",8.2,41,99
"200",34.9349,-119.86643,"Los Angeles",4.9,25,48
"201",34.37219,-119.44767,"Los Angeles",8.4,38,102
"202",37.30285,-122.06676,"San Francisco",1.8,77,45
"203",34.81128,-118.93593,"Los Angeles",3.8,73,153
"204",34.6819,-119.27392,"Los Angeles",2.4,9,33
"205",34.39287,-119.06091,"Los Angeles",9.4,24,60
"206",34.67077,-119.68439,"Los Angeles",6.2,34,65
"207",37.26108,-122.18495,"San Francisco",4.9,41,72
"208",34.38897,-118.57694,"Los Angeles",2.8,13,31
"209",34.30347,-118.70444,"Los Angeles",3,6,28
"210",34.46501,-118.71774,"Los Angeles",3.3,13,31
"211",37.26679,-122.33455,"San Francisco",3.6,17,36
"212",37.42382,-121.94976,"San Jose",11.2,78,76
"213",37.52602,-122.31106,"San Francisco",5.9,97,93
"214",34.7699,-119.92988,"Los Angeles",16.4,98,75
"215",34.22106,-118.66178,"Los Angeles",2.4,3,15
"216",34.85332,-119.19636,"Los Angeles",4.7,44,62
"217",34.47192,-120.32094,"Santa Maria",14.8,129,111
"218",37.86056,-121.70639,"San Jose",9.4,29,62
"219",34.99709,-120.43075,"Santa Maria",3.6,33,47
"220",37.36162,-121.17669,"San Jose",3.2,48,45
"221",37.45314,-121.28287,"San Jose",16,90,98
"222",37.81753,-122.25993,"San Francisco",11.6,156,510
"223",37.54552,-121.56856,"San Jose",9.6,214,82
"224",37.06291,-121.18001,"San Jose",4.8,77,52
"225",34.49208,-119.33347,"Los Angeles",8.2,47,83
