"","Latitude","Longitude","Place","As","Cr","Zn"
"4174",35.75341,-119.19627,"Bakersfield",6.1,51,99
"4242",37.4622,-120.44037,"San Jose",2.7,NA,NA
"1067",38.1326,-119.0441,"Walker Lake",4.4,-2,55
"1136",36.1382,-120.1023,"Monterey",9.8,67,82
"880",35.1455,-119.7226,"Bakersfield",5.9,37,71
"1776",35.7646,-115.9015,"Kingman",NA,50,110
"4374",39.35107,-122.49187,"Ukiah",10.8,23,64
"1390",35.4818,-115.8371,"Kingman",NA,70,62
"3041",34.5194,-117.218,"San Bernardino",NA,60,100
"5157",39.95419,-123.28484,"Ukiah",6.9,158,98
"855",35.0008,-118.8457,"Bakersfield",3.5,47,148
"2654",34.9758,-117.6672,"San Bernardino",NA,21,36
"1093",36.9625,-121.8079,"Monterey",7.7,97,91
"578",35.22261,-118.47013,"Bakersfield",NA,NA,NA
"4840",40.9534,-122.7151,"Redding",6,176,171
"3934",35.68693,-119.69113,"Bakersfield",4.7,58,53
"4975",39.22486,-121.7854,"Chico",12.3,183,73
"3261",34.4329,-117.5318,"San Bernardino",NA,56,76
"3411",34.3388,-116.9126,"San Bernardino",NA,16,27
"3788",34.1493,-116.8337,"San Bernardino",NA,27,120
"1058",36.9833,-121.5101,"Monterey",3.8,151,105
"4950",39.00689,-123.68821,"Ukiah",7.7,73,85
"4774",41.83171,-121.99151,"Alturas",1.4,48,81
"3657",34.0738,-117.7104,"San Bernardino",NA,63,270
"2803",34.8395,-116.5286,"San Bernardino",NA,7,33
"2139",34.6722,-114.7045,"Needles",NA,14,91
"2724",34.9358,-117.0634,"San Bernardino",NA,53,88
"4789",41.96472,-122.25115,"Weed",5.6,76,82
"1585",35.5825,-115.6403,"Kingman",NA,31,61
"291",33.08525,-114.91894,"Salton Sea",13.6,19,45
"285",34.96781,-117.18869,"San Bernardino",5.5,26,45
"497",35.02931,-117.38547,"Trona",8.9,26,57
"3102",34.6607,-116.5956,"San Bernardino",NA,48,81
"1382",35.112,-114.9964,"Kingman",5.6,31,57
"4618",40.05438,-121.01733,"Susanville",52.5,77,250
"4159",36.19508,-119.4738,"Fresno",3.9,40,74
"3034",34.5275,-117.1322,"San Bernardino",NA,47,62
"4454",41.79831,-121.17649,"Alturas",3.4,105,99
"2477",34.0705,-115.3108,"Needles",NA,23,57
"625",37.00624,-119.21828,"Mariposa",1.1,27,112
"4675",40.90216,-121.02271,"Susanville",6.3,313,152
"3847",34.0817,-116.5868,"San Bernardino",NA,150,110
"3607",34.0223,-117.9397,"San Bernardino",NA,39,84
"3315",34.439,-117.2575,"San Bernardino",NA,49,76
"3356",34.4944,-117.1722,"San Bernardino",NA,52,87
"89",33.23421,-116.32798,"Santa Ana",3.8,31,106
"3335",34.366,-117.294,"San Bernardino",NA,27,45
"2026",34.5604,-115.6785,"Needles",NA,48,70
"4215",36.29886,-119.6911,"Fresno",5.8,75,79
"4270",41.083,-120.2455,"Alturas",NA,100,110
"1815",34.7798,-115.6316,"Needles",NA,25,61
"211",37.26679,-122.33455,"San Francisco",3.6,17,36
"1600",35.0725,-114.7517,"Kingman",NA,87,130
"1608",35.2098,-115.0258,"Kingman",NA,61,81
"95",34.81531,-118.78591,"Los Angeles",98.4,58,203
"3561",34.4444,-116.108,"San Bernardino",NA,51,61
"4762",39.62505,-122.16058,"Ukiah",7.1,173,100
"3359",34.2739,-117.0548,"San Bernardino",NA,9,76
"493",37.01275,-118.93316,"Mariposa",1.9,10,55
"3145",34.7189,-116.296,"San Bernardino",NA,58,76
"274",32.98416,-115.19943,"El Centro",3.3,5,26
"718",36.38946,-121.86925,"Monterey",1.3,56,150
"5083",41.18306,-123.36527,"Weed",10.4,83,145
"402",35.18035,-117.03798,"Trona",3.9,14,53
"682",36.38922,-121.04758,"Monterey",2.4,55,71
"2485",34.0923,-115.4884,"Needles",NA,34,78
"5005",40.21339,-123.78733,"Redding",7,97,80
"4071",35.5296,-119.79668,"Bakersfield",14,90,75
"4853",38.19981,-122.07997,"Santa Rosa",16.6,131,93
"5145",39.26932,-122.27384,"Ukiah",10,80,74
"4564",40.61889,-120.62613,"Susanville",3.2,142,146
"2025",34.5882,-115.5573,"Needles",NA,39,39
"29",34.84903,-118.37009,"Los Angeles",12,64,79
"4164",35.1793,-119.35607,"Bakersfield",11,41,45
"4768",39.80283,-122.28607,"Ukiah",5.5,117,62
"2751",34.7808,-117.1712,"San Bernardino",NA,81,77
"131",33.35516,-116.74213,"Santa Ana",1.3,35,133
"1955",34.8867,-114.9169,"Needles",NA,70,81
"619",37.57499,-119.16424,"Mariposa",4,30,76
"109",33.18245,-117.25096,"Santa Ana",4.9,78,97
"3222",34.557,-116.1824,"San Bernardino",7.4,140,93
"183",34.28644,-119.32084,"Los Angeles",5.9,17,42
"932",35.5929,-117.6854,"Trona",3.5,38,67
"4029",35.5248,-119.21785,"Bakersfield",3.9,46,63
"4462",41.90808,-121.64474,"Alturas",3.7,44,58
"4405",40.97809,-120.11334,"Susanville",4.2,18,59
"3512",34.4372,-116.328,"San Bernardino",NA,22,31
"1461",35.2151,-115.1905,"Kingman",NA,25,93
"4744",39.08165,-122.47473,"Ukiah",13.3,89,97
"3710",34.1123,-117.4787,"San Bernardino",NA,66,130
"2845",34.9077,-116.3281,"San Bernardino",NA,13,43
"39",32.75738,-116.98465,"San Diego",4.2,45,127
"463",34.33408,-117.07543,"San Bernardino",0.8,33,34
"5000",40.13247,-123.41532,"Redding",3.7,61,93
"2651",34.9171,-117.6408,"San Bernardino",NA,11,19
"1438",35.2919,-115.0865,"Kingman",NA,62,84
"3563",34.4398,-116.1321,"San Bernardino",NA,89,71
"1219",36.1092,-119.3929,"Fresno",4.1,44,101
"502",35.665,-118.8446,"Bakersfield",3.3,43,73
"2473",34.0916,-115.4009,"Needles",NA,21,51
"3841",34.1148,-116.5403,"San Bernardino",NA,51,100
"1220",36.0493,-119.7316,"Fresno",6.2,63,97
"4776",41.78347,-122.10597,"Weed",1.2,97,115
"2334",34.2867,-114.6243,"Needles",4.5,64,95
"890",35.8765,-116.4803,"Trona",11.2,18,92
"3426",34.2715,-116.7898,"San Bernardino",NA,55,76
"1005",33.0898,-115.4379,"Salton Sea",4.7,14,46
"4650",40.22899,-121.79738,"Susanville",5.1,171,102
"4540",39.59491,-121.08775,"Chico",1.1,2510,76
"1232",35.798,-120.2869,"San Luis Obispo",1.6,210,82
"688",35.54024,-121.02435,"San Luis Obispo",4.9,235,53
"2271",34.4483,-114.8319,"Needles",NA,26,160
"562",37.15635,-119.2231,"Mariposa",1.3,12,61
"3537",34.2613,-116.448,"San Bernardino",NA,51,100
"2536",34.0207,-114.9236,"Needles",NA,41,56
"249",37.84003,-122.03936,"San Francisco",3.3,26,37
"98",33.92327,-117.24324,"Santa Ana",1.5,11,65
"4054",36.14981,-119.3711,"Fresno",4.7,48,88
"3694",34.2376,-117.287,"San Bernardino",NA,34,110
"75",33.30722,-116.19669,"Santa Ana",2.5,57,86
"4639",40.68233,-121.34596,"Susanville",5,157,99
"2419",34.0622,-115.745,"Needles",NA,45,55
"3885",34.0869,-116.4334,"San Bernardino",NA,63,110
"2481",34.1158,-115.3535,"Needles",NA,23,50
"4287",41.7211,-120.3286,"Alturas",NA,66,120
"4512",41.40124,-121.60908,"Alturas",3.4,106,117
"2006",34.6867,-115.8906,"Needles",NA,36,43
"2217",34.4165,-115.6075,"Needles",NA,56,42
"636",36.73746,-121.70479,"Monterey",7,56,44
"229",37.9603,-121.86264,"San Jose",8.3,31,42
"2737",34.9466,-117.133,"San Bernardino",NA,25,390
"1473",35.0807,-115.1825,"Kingman",NA,39,53
"1936",34.8033,-114.885,"Needles",NA,79,67
"3238",34.4732,-117.8225,"San Bernardino",NA,59,81
"4682",40.56782,-122.1336,"Redding",6.7,25,56
"2000",34.6753,-115.7909,"Needles",NA,49,56
"1768",35.928,-115.9214,"Kingman",NA,35,55
"4938",38.91018,-123.30526,"Santa Rosa",5.3,69,112
"2665",34.8438,-117.524,"San Bernardino",NA,67,61
"1452",35.41,-115.4626,"Kingman",NA,63,130
"1866",34.7569,-115.6907,"Needles",NA,33,72
"3600",34.1073,-117.9426,"San Bernardino",7.7,67,250
