rec_no,labno,labno2,prev_labno,fldnam,coll_date,fldnam_an,descript,aov_code,replicate,loc_count,grainsize,dataset,stype,soil_horiz,color,setting,smpgrsize,datum,photos,acchanwid,fldplnwid,waterdep,watcol,flowstage,flowrate,collector,strbed,relief,contamsou,contampot,contamdegr,veg,formation,anal_notes,joinname,latitude,longitude,quad24code,quad250cod,quad100cod,fips,huc_8,category,qd250name,typedesc,medium,source,source_mod,upsieve,dried,stypenote,prime_id,laslid,ornlid,srlid,lllid,site,xsite,replc,labcond,grabs,samphr,orgn_pct,study,sgeounit,alk,o_diss,scin,airtemp,wtrtemp,ph,cond,strflow,str_chan,weath,veg_dens,rock_type,rock_col,odor,icp40_job,al_icp40,ca_icp40,fe_icp40,k_icp40,mg_icp40,na_icp40,p_icp40,ti_icp40,ag_icp40,as_icp40,au_icp40,ba_icp40,be_icp40,bi_icp40,cd_icp40,ce_icp40,co_icp40,cr_icp40,cu_icp40,eu_icp40,ga_icp40,ho_icp40,la_icp40,li_icp40,mn_icp40,mo_icp40,nb_icp40,nd_icp40,ni_icp40,pb_icp40,sc_icp40,sn_icp40,sr_icp40,ta_icp40,th_icp40,u_icp40,v_icp40,y_icp40,yb_icp40,zn_icp40,cs_icp40,rb_icp40,sb_icp40,zr_icp40,as_job,as_aa,se_job,se_aa,hg_job,hg_aa,sb_job,sb_aa,te_job,te_aa,tl_job,tl_aa,w_job,w_vs,au_job,au_aa,pdpt_job,pd_aa,pt_aa,icp10_job,ag_icp10,as_icp10,au_icp10,bi_icp10,cd_icp10,cu_icp10,mo_icp10,pb_icp10,sb_icp10,zn_icp10,ga_icp10,hg_icp10,se_icp10,te_icp10,tl_icp10,icp16_job,al_icp16,ca_icp16,fe_icp16,k_icp16,mg_icp16,na_icp16,p_icp16,si_icp16,ti_icp16,ba_icp16,cr_icp16,mn_icp16,nb_icp16,sr_icp16,y_icp16,zr_icp16,inaajob_us,inaajob_be,na_inaa,sc_inaa,ti_inaa,cr_inaa,fe_inaa,co_inaa,ni_inaa,zn_inaa,as_inaa,br_inaa,rb_inaa,sr_inaa,zr_inaa,mo_inaa,sb_inaa,cs_inaa,ba_inaa,la_inaa,ce_inaa,nd_inaa,sm_inaa,eu_inaa,tb_inaa,yb_inaa,lu_inaa,hf_inaa,ta_inaa,w_inaa,au_inaa,th_inaa,u_inaa,dn_job,u_dn,th_dn,xrf_job,sio2_xrf,al2o3_xrf,fe2o3_xrf,mgo_xrf,cao_xrf,na2o_xrf,k2o_xrf,tio2_xrf,p2o5_xrf,mno_xrf,loi925c,c_s_job,c_tot,c_org,c_co3,s_tot,al_nure,ca_nure,fe_nure,k_nure,mg_nure,na_nure,ag_nure,as_nure,au_nure,b_nure,ba_nure,be_nure,bi_nure,br_nure,cd_nure,ce_nure,cl_nure,co_nure,cr_nure,cs_nure,cu_nure,dy_nure,eu_nure,f_nure,hf_nure,hg_nure,la_nure,li_nure,lu_nure,mn_nure,mo_nure,nb_nure,ni_nure,p_nure,pb_nure,pt_nure,rb_nure,sb_nure,sc_nure,se_nure,sm_nure,sn_nure,sr_nure,ta_nure,tb_nure,th_nure,ti_nure,v_nure,w_nure,y_nure,yb_nure,zn_nure,zr_nure,u_nure,nure_meth,zip3,congdist
5194260,D-508438,,,NEAF039S1,19800223,NEAF039,"NURE sample",R1,first,2,,"NURE PLUTO",61,,,,,NAD27,,dry,,dry,,dry,,071,sand,flat,"farm, ranch",,,scrub,QTRN,,,34.9521,-114.678,35116NEC1,35116,35116NE,f06071,15030101,NURE,Needles,STRM-SED-DRY,Sediment,Stream,Dry,150,<110oC,,NEAF039S1,,,NEAF039S1,,,,000,,10,,,,QTRN,,,78,,,,,,,,moderate,"unconsol. val. fill",,,VB47,4.698,2.301,1.2,1.999,0.39,1.7,0.03,0.14,-2,-10,-8,870,1,-10,-2,40,6,11,7,1,11,-4,22,10,309.8,-2,-4,18,7,13,3,-5,430,-40,4,-100,28,8,-1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5393,,2.994,,,1.1407,,,-0.01,,,,,,,83,,,,,,0.2,1.7,,13,,-5,,0.4,421,,,,,,,,,3.4,,16,,,,,5,3321,53,,,-1,,,1.7,"SR1, SR2",923,0641C2
5194260,D-508663,,,NEAF039S1,19800223,NEAF039,"NURE sample",R2,D-508438,2,,"NURE PLUTO",61,,,,,NAD27,,dry,,dry,,dry,,071,sand,flat,"farm, ranch",,,scrub,QTRN,,,34.9521,-114.678,35116NEC1,35116,35116NE,f06071,15030101,NURE,Needles,STRM-SED-DRY,Sediment,Stream,Dry,150,<110oC,,NEAF039S1,,,NEAF039S1,,,,000,,10,,,,QTRN,,,78,,,,,,,,moderate,"unconsol. val. fill",,,VB53,4.798,3.201,2.3,1.9,0.65,1.5,0.06,0.27,-2,-10,-8,710,1,-10,-2,85,7,26,9,1,11,-4,47,15,459.8,-2,-4,37,11,15,4,-5,350,-40,8,-100,56,16,2,40,,,,,,,,,,,,,,,,,,,VB53,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5393,,2.994,,,1.1407,,,-0.01,,,,,,,83,,,,,,0.2,1.7,,13,,-5,,0.4,421,,,,,,,,,3.4,,16,,,,,5,3321,53,,,-1,,,1.7,"SR1, SR2",923,0641C2
5194261,D-508664,,,NEAF040S1,19800223,NEAF040,"NURE sample",,,1,,"NURE PLUTO",61,,,,,NAD27,,dry,,dry,,dry,,071,sand,gentle,none,,,scrub,TRTR,,,34.9771,-114.7185,35116NEC1,35116,35116NE,f06071,15030101,NURE,Needles,STRM-SED-DRY,Sediment,Stream,Dry,150,<110oC,,NEAF040S1,,,NEAF040S1,,,,000,,10,,,,TRTR,,,90,,,,,,,,moderate,volc/mafic,,,VB53,6.999,4.202,3.5,2.1,1.3,2.3,0.16,0.48,-2,-10,-8,840,2,-10,-2,140,12,34,15,1,19,-4,76,22,609.6,-2,10,62,19,22,8,-5,550,-40,12,-100,75,27,2,78,,,,,,,,,,,,,,,,,,,VB53,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7953,,1.3487,,,0.806,,,-0.01,,,,,,,47,,,,,,,-0.9,,10,,36,,0.2,274,,,,,,,,,6.1,,5,,,,,4,720,32,,,,,,2,"SR1, SR2",923,0641C2
5194264,D-508439,,,NEAF043S1,19800223,NEAF043,"NURE sample",R1,first,2,,"NURE PLUTO",61,,,,,NAD27,,dry,,dry,,dry,,071,sand,flat,none,,,scrub,QTRN,,,34.9426,-114.7094,35116NEC1,35116,35116NE,f06071,15030101,NURE,Needles,STRM-SED-DRY,Sediment,Stream,Dry,150,<110oC,,NEAF043S1,,,NEAF043S1,,,,000,,10,,,,QTRN,,,98,,,,,,,,moderate,"unconsol. val. fill",,,VB47,5.396,2.601,2.9,2.5,0.49,1.899,0.04,0.35,-2,-10,-8,1100,2,-10,-2,72,9,25,11,1,14,-4,37,12,719.6,-2,7,30,11,22,4,-5,430,-40,7,-100,65,12,1,45,,,,,,,,,,,,,,,,,,,VB47,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,923,0641C2
5194264,D-508666,,,NEAF043S1,19800223,NEAF043,"NURE sample",R2,D-508439,2,,"NURE PLUTO",61,,,,,NAD27,,dry,,dry,,dry,,071,sand,flat,none,,,scrub,QTRN,,,34.9426,-114.7094,35116NEC1,35116,35116NE,f06071,15030101,NURE,Needles,STRM-SED-DRY,Sediment,Stream,Dry,150,<110oC,,NEAF043S1,,,NEAF043S1,,,,000,,10,,,,QTRN,,,98,,,,,,,,moderate,"unconsol. val. fill",,,VB53,5.597,4.002,6.199,2.1,0.87,1.7,0.1,0.67,-2,-10,-8,990,1,-10,-2,140,19,55,16,1,17,-4,73,19,1199,-2,10,61,20,23,7,-5,420,-40,18,-100,140,26,2,81,,,,,,,,,,,,,,,,,,,VB53,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,923,0641C2
5194384,D-508667,,,NEBA006S1,19800314,NEBA006,"NURE sample",,,1,,"NURE PLUTO",61,,,,,NAD27,,dry,,dry,,dry,,071,sand,mod,none,,,scrub,QTRN,,,34.6211,-115.8578,35116NWB4,35116,35116NW,f06071,18100100,NURE,Needles,STRM-SED-DRY,Sediment,Stream,Dry,150,<110oC,,NEBA006S1,,,NEBA006S1,,,,000,,10,,,,QTRN,,,25,,,,,,,,moderate,"unconsol. val. fill",,,VB53,7.395,3.401,4.699,2.199,1.2,2.599,0.11,0.63,-2,-10,-8,710,2,-10,-2,120,14,56,40,1,21,-4,61,26,679.6,-2,13,54,21,19,10,-5,490,-40,22,-100,120,29,3,63,,,,,,,,,,,,,,,,,,,VB53,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.712,,3.3513,,,1.9187,,,-0.01,,,,,,,58,,,,,,0.3,-0.5,,8,,-5,,,550,,,,,,,,,4.8,,6,,,,,17,4441,88,,,-1,,,2.8,"SR1, SR2",923,0641C2
5194385,D-508668,,,NEBA007S1,19800314,NEBA007,"NURE sample",,,1,,"NURE PLUTO",61,,,,,NAD27,,dry,,dry,,dry,,071,sand,mod,none,,,scrub,QTRN,,,34.6283,-115.8775,35116NWA3,35116,35116NW,f06071,18100100,NURE,Needles,STRM-SED-DRY,Sediment,Stream,Dry,150,<110oC,,NEBA007S1,,,NEBA007S1,,,,000,,10,,,,QTRN,,,30,,,,,,,,moderate,"unconsol. val. fill",,,VB53,7.295,3.401,5.6,2.1,1.2,2.699,0.12,0.689,-2,-10,-8,690,2,-10,-2,140,15,67,41,1,20,-4,77,23,739.6,-2,18,61,21,20,10,-5,500,-40,38,-100,140,34,3,59,,,,,,,,,,,,,,,,,,,VB53,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8253,,2.4887,,,1.37,,,-0.01,,,,,,,92,,,,,,0.3,-1,,18,,46,,0.4,402,,,,,,,,,9.1,,6,,,,,23,1497,74,,,4,,,4.4,"SR1, SR2",923,0641C2
5194386,D-508669,,,NEBA008S1,19800314,NEBA008,"NURE sample",,,1,,"NURE PLUTO",59,,,,,NAD27,,dry,,dry,,dry,,071,sand,flat,none,,,scrub,QTRN,,,34.6014,-115.8553,35116NWB4,35116,35116NW,f06071,18100100,NURE,Needles,SOIL,Sediment,Soil,,150,,,NEBA008S1,,,NEBA008S1,,,,000,,10,,,,QTRN,,,30,,,,,,,,moderate,"unconsol. val. fill",,,VB53,6.798,3.201,4.2,1.999,1.1,2.399,0.11,0.36,-2,-10,-8,650,2,-10,-2,130,13,48,42,1,18,-4,73,21,559.7,-2,5,55,18,15,8,-5,470,-40,34,-100,98,30,3,54,,,,,,,,,,,,,,,,,,,VB53,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.932,,2.8927,,,1.256,,,-0.01,,,,,,,63,,,,,,0.6,-0.9,,15,,38,,0.3,364,,,,,,,,,10.7,,6,,,,,19,2655,50,,,,,,3.8,"SR1, SR2",923,0641C2
5194387,D-508670,,,NEBA009S1,19800314,NEBA009,"NURE sample",,,1,,"NURE PLUTO",61,,,,,NAD27,,dry,,dry,,dry,,071,sand,flat,none,,,scrub,QTRN,,,34.6299,-115.821,35116NWB3,35116,35116NW,f06071,18100100,NURE,Needles,STRM-SED-DRY,Sediment,Stream,Dry,150,<110oC,,NEBA009S1,,,NEBA009S1,,,,000,,10,,,,QTRN,,,25,,,,,,,,moderate,"unconsol. val. fill",,,VB53,7.194,3.601,6.599,1.999,1.2,2.599,0.1,0.949,-2,-10,-8,660,2,-10,-2,130,17,80,10,1,20,-4,69,23,829.7,-2,16,59,22,16,10,-5,560,-40,29,-100,180,30,3,69,,,,,,,,,,,,,,,,,,,VB53,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6613,,5.4133,,,1.5913,,,-0.01,,,,,,,81,,,,,,0.2,-0.3,,19,,-5,,0.5,604,,,,,,,,,10.3,,7,,,,,28,6520,109,,,,,,3.8,"SR1, SR2",923,0641C2
5194388,D-508671,,,NEBA010S1,19800314,NEBA010,"NURE sample",,,1,,"NURE PLUTO",61,,,,,NAD27,,dry,,dry,,dry,,071,sand,mod,mine,,,scrub,PRCM,,,34.6649,-115.7993,35116NWB3,35116,35116NW,f06071,18100100,NURE,Needles,STRM-SED-DRY,Sediment,Stream,Dry,150,<110oC,,NEBA010S1,,,NEBA010S1,,,,000,,10,,,,PRCM,,,50,,,,,,,,moderate,metamorphic,,,VB53,7.295,3.002,4.699,2.5,1.3,2.3,0.08,0.51,-2,20,-8,700,2,-10,-2,120,22,43,14,1,19,-4,63,29,629.6,-2,10,52,21,13,11,-5,400,-40,16,-100,100,31,3,66,,,,,,,,,,,,,,,,,,,VB53,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0733,,3.284,,,1.1687,,,-0.01,,,,,,,72,,,,,,0.6,-1,,13,,44,,0.3,365,,,,,,,,,8.7,,6,,,,,12,1847,72,,,,,,3.1,"SR1, SR2",923,0641C2
5194389,D-508672,,,NEBA011S1,19800314,NEBA011,"NURE sample",,,1,,"NURE PLUTO",61,,,,,NAD27,,dry,,dry,,dry,,071,sand,mod,mine,,,scrub,PRCM,,,34.6753,-115.7909,35116NWB3,35116,35116NW,f06071,18100100,NURE,Needles,STRM-SED-DRY,Sediment,Stream,Dry,150,<110oC,,NEBA011S1,,,NEBA011S1,,,,000,,10,,,,PRCM,,,50,,,,,,,,moderate,metamorphic,,,VB53,7.295,3.201,4.5,2.3,1.1,2.599,0.09,0.55,-2,10,-8,720,2,-10,-2,130,13,49,35,1,19,-4,66,25,729.6,-2,12,56,18,20,9,-5,450,-40,37,-100,100,30,3,56,,,,,,,,,,,,,,,,,,,VB53,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,,,,,,,-0.01,,,,,,,23,,,,,,,3.1,,-2,,-5,,,-20,,,,,,,,,-0.2,,,,,,,-2,,,,,,,,0.1,"SR1, SR2",923,0641C2
5194390,D-508673,,,NEBA012S1,19800314,NEBA012,"NURE sample",,,1,,"NURE PLUTO",61,,,,,NAD27,,dry,,dry,,dry,,071,sand,flat,none,,,scrub,QTRN,,,34.6462,-115.8311,35116NWB3,35116,35116NW,f06071,18100100,NURE,Needles,STRM-SED-DRY,Sediment,Stream,Dry,150,<110oC,,NEBA012S1,,,NEBA012S1,,,,000,,10,,,,QTRN,,,40,,,,,,,,moderate,"unconsol. val. fill",,,VB53,7.094,4.202,4.299,2.4,1,2.399,0.1,0.28,-2,21,-8,770,2,-10,-2,110,11,31,15,1,19,-4,59,21,739.6,-2,4,51,14,14,8,-5,460,-40,20,-100,86,32,3,45,,,,,,,,,,,,,,,,,,,VB53,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63,,2.9153,,,1.068,,,-0.01,,,,,,,61,,,,,,1.6,-1,,13,,34,,0.4,408,,,,,,,,,8.7,,8,,,,,10,1979,36,,,1.4,,,2.9,"SR1, SR2",923,0641C2
5194391,D-508674,,,NEBA013S1,19800314,NEBA013,"NURE sample",,,1,,"NURE PLUTO",61,,,,,NAD27,,dry,,dry,,dry,,071,sand,low,none,,,scrub,QTRN,,,34.6762,-115.8302,35116NWB3,35116,35116NW,f06071,18100100,NURE,Needles,STRM-SED-DRY,Sediment,Stream,Dry,150,<110oC,,NEBA013S1,,,NEBA013S1,,,,000,,10,,,,QTRN,,,30,,,,,,,,moderate,"unconsol. val. fill",,,VB53,6.898,5.603,4.1,2.3,1.2,2.2,0.09,0.51,-2,20,-8,740,2,-10,-2,96,12,42,14,1,18,-4,49,32,739.6,-2,11,45,17,12,8,-5,500,-40,15,-100,92,27,3,51,,,,,,,,,,,,,,,,,,,VB53,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9593,,2.5253,,,0.9593,,,-0.01,,,,,,,56,,,,,,,-1,,10,,29,,0.3,375,,,,,,,,,4.2,,7,,,,,7,2093,36,,,2.2,,,3,"SR1, SR2",923,0641C2
5194392,D-508675,,,NEBA014S1,19800314,NEBA014,"NURE sample",,,1,,"NURE PLUTO",61,,,,,NAD27,,dry,,dry,,dry,,071,sand,mod,none,,,scrub,PRCM,,,34.7096,-115.8237,35116NWB3,35116,35116NW,f06071,18100100,NURE,Needles,STRM-SED-DRY,Sediment,Stream,Dry,150,<110oC,,NEBA014S1,,,NEBA014S1,,,,000,,10,,,,PRCM,,,30,,,,,,,,moderate,metamorphic,,,VB53,8.094,3.802,3.8,1.999,1.1,2.599,0.05,0.74,-2,-10,-8,650,2,-10,-2,120,11,54,9,1,21,-4,70,30,559.7,-2,15,50,18,11,10,-5,670,-40,14,-100,110,23,2,61,,,,,,,,,,,,,,,,,,,VB53,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.918,,1.9787,,,1.536,,,-0.01,,,,,,,42,,,,,,,-0.7,,12,,29,,0.1,369,,,,,,,,,9.4,,5,,,,,8,3575,54,,,,,,2.8,"SR1, SR2",923,0641C2
5194393,D-508676,,,NEBA015S1,19800314,NEBA015,"NURE sample",,,1,,"NURE PLUTO",61,,,,,NAD27,,dry,,dry,,dry,,071,sand,gentle,none,,,scrub,PRCM,,,34.7051,-115.8568,35116NWB3,35116,35116NW,f06071,18100100,NURE,Needles,STRM-SED-DRY,Sediment,Stream,Dry,150,<110oC,,NEBA015S1,,,NEBA015S1,,,,000,,10,,,,PRCM,,,30,,,,,,,,moderate,metamorphic,,,VB53,7.596,3.401,3.199,2.199,1.1,2.599,0.06,0.5,-2,-10,-8,730,2,-10,-2,82,11,42,10,1,20,-4,43,26,559.7,-2,12,36,19,14,8,-5,570,-40,11,-100,75,20,2,55,,,,,,,,,,,,,,,,,,,VB53,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9167,,2.832,,,2.252,,,-0.01,,,,,,,84,,,,,,,-0.8,,6,,-5,,-0.1,557,,,,,,,,,4.6,,4,,,,,14,5029,86,,,-1,,,1.8,"SR1, SR2",923,0641C2
5194394,D-508677,,,NEBA016S1,19800314,NEBA016,"NURE sample",,,1,,"NURE PLUTO",59,,,,,NAD27,,dry,,dry,,dry,,071,sand,low,none,,,scrub,QTRN,,,34.686,-115.8512,35116NWB3,35116,35116NW,f06071,18100100,NURE,Needles,SOIL,Sediment,Soil,,150,,,NEBA016S1,,,NEBA016S1,,,,000,,10,,,,QTRN,,,30,,,,,,,,moderate,"unconsol. val. fill",,,VB53,7.496,3.902,3.999,2.3,1.5,2,0.11,0.55,-2,-10,-8,660,2,-10,-2,110,15,51,20,1,20,-4,59,39,659.6,-2,12,49,24,19,10,-5,420,-40,18,-100,89,27,2,76,,,,,,,,,,,,,,,,,,,VB53,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.786,,2.048,,,0.7573,,,-0.01,,,,,,,48,,,,,,,-0.8,,12,,28,,0.2,276,,,,,,,,,13.2,,4,,,,,11,2004,37,,,1.6,,,3.1,"SR1, SR2",923,0641C2
5194395,D-508678,,,NEBA017S1,19800314,NEBA017,"NURE sample",,,1,,"NURE PLUTO",61,,,,,NAD27,,dry,,dry,,dry,,071,sand,low,none,,,scrub,QTRN,,,34.6867,-115.8906,35116NWA3,35116,35116NW,f06071,18100100,NURE,Needles,STRM-SED-DRY,Sediment,Stream,Dry,150,<110oC,,NEBA017S1,,,NEBA017S1,,,,000,,10,,,,QTRN,,,35,,,,,,,,moderate,"unconsol. val. fill",,,VB53,8.094,3.102,2.7,2.3,0.93,2.599,0.07,0.4,-2,-10,-8,720,2,-10,-2,87,10,36,7,1,18,-4,49,22,489.7,-2,9,38,14,15,8,-5,570,-40,12,-100,64,21,2,43,,,,,,,,,,,,,,,,,,,VB53,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1513,,2.3287,,,1.446,,,-0.01,,,,,,,58,,,,,,,-0.4,,4,,28,,0.2,327,,,,,,,,,5.9,,5,,,,,7,2133,31,,,,,,2.3,"SR1, SR2",923,0641C2
5194396,D-508679,,,NEBA018S1,19800314,NEBA018,"NURE sample",,,1,,"NURE PLUTO",59,,,,,NAD27,,dry,,dry,,dry,,071,sand,low,none,,,scrub,QTRN,,,34.6991,-115.9346,35116NWA3,35116,35116NW,f06071,18100100,NURE,Needles,SOIL,Sediment,Soil,,150,,,NEBA018S1,,,NEBA018S1,,,,000,,10,,,,QTRN,,,30,,,,,,,,moderate,"unconsol. val. fill",,,VB53,7.496,3.301,3.3,2.3,1.2,2.399,0.07,0.45,-2,-10,-8,700,2,-10,-2,85,12,40,13,1,20,-4,44,32,579.6,-2,10,38,19,16,9,-5,500,-40,13,-100,74,21,2,58,,,,,,,,,,,,,,,,,,,VB53,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3613,,1.7433,,,1.3687,,,-0.01,,,,,,,35,,,,,,,1.7,,6,,23,,0.2,354,,,,,,,,,5.6,,3,,,,,7,2858,62,,,,,,2.6,"SR1, SR2",923,0641C2
5194397,D-508680,C-165913,,NEBA019S1,19800314,NEBA019,"NURE sample",,,1,,"NURE PLUTO",61,,,,,NAD27,,dry,,dry,,dry,,071,sand,low,trash,,,scrub,QTRN,,,34.7203,-115.9286,35116NWA3,35116,35116NW,f06071,18100100,NURE,Needles,STRM-SED-DRY,Sediment,Stream,Dry,150,<110oC,,NEBA019S1,,,NEBA019S1,,,,000,,10,,,,QTRN,,,30,,,,,,,,moderate,"unconsol. val. fill",,,VB53,7.395,3.802,3.5,2.4,1.4,2.099,0.06,0.46,-2,-10,-8,650,2,-10,-2,87,12,48,19,1,19,-4,44,39,589.6,-2,12,39,20,19,9,-5,440,-40,16,-100,76,22,2,66,,,,,MRP-02390,6.2,MRP-02390,0.3,MRP-02390,-0.02,,,,,,,,,VB53,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9847,,1.864,,,1.112,,,-0.01,,,,,,,39,,,,,,2.1,-0.6,,10,,26,,0.3,347,,,,,,,,,7.1,,4,,,,,9,2146,39,,,1.6,,,2.7,"SR1, SR2",923,0641C2
5194398,D-508681,,,NEBA020S1,19800314,NEBA020,"NURE sample",,,1,,"NURE PLUTO",59,,,,,NAD27,,dry,,dry,,dry,,071,sand,low,trash,,,scrub,PRCM,,,34.7303,-115.9018,35116NWA3,35116,35116NW,f06071,18100100,NURE,Needles,SOIL,Sediment,Soil,,150,,,NEBA020S1,,,NEBA020S1,,,,000,,10,,,,PRCM,,,35,,,,,,,,moderate,metamorphic,,,VB53,6.697,3.702,2.099,2.7,0.77,2.2,0.04,0.31,-2,-10,-8,720,2,-10,-2,82,7,24,11,1,18,-4,45,41,479.7,-2,13,31,9,48,5,-5,500,-40,18,-100,46,18,2,81,,,,,,,,,,,,,,,,,,,VB53,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5387,,3.4033,,,1.46,,,-0.01,,,,,,,106,,,,,,,-1,,8,,293,,,387,,,,,,,,,3.4,,2,,,,,15,2085,44,,,-1,,,2.7,"SR1, SR2",923,0641C2
5194399,D-508682,,,NEBA021S1,19800314,NEBA021,"NURE sample",,,1,,"NURE PLUTO",61,,,,,NAD27,,dry,,dry,,dry,,071,sand,flat,trash,,,scrub,QTRN,,,34.7253,-115.9715,35116NWA3,35116,35116NW,f06071,18100100,NURE,Needles,STRM-SED-DRY,Sediment,Stream,Dry,150,<110oC,,NEBA021S1,,,NEBA021S1,,,,000,,10,,,,QTRN,,,30,,,,,,,,moderate,"unconsol. val. fill",,,VB53,7.395,3.301,3.599,2.3,1.1,2.599,0.09,0.53,-2,-10,-8,700,2,-10,-2,97,12,47,38,1,19,-4,50,26,619.6,-2,13,42,18,17,8,-5,500,-40,13,-100,87,25,2,57,,,,,,,,,,,,,,,,,,,VB53,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4287,,3.3493,,,1.7287,,,-0.01,,,,,,,-10,,,,,,2.5,-1,,12,,-5,,-0.1,502,,,,,,,,,6.8,,7,,,,,18,5423,66,,,-1,,,3,"SR1, SR2",923,0641C2
